User_ID,Age,User_Interest,Preferred_Destination,Budget,Travel_Style
U0277,34,"Sunbathing, Historical Exploration, Meditation","Diyaluma Falls, Sea Turtle Farm Galle Mahamodara",Low,Relaxed
U0278,33,"Wildlife Safaris, Sunbathing","Jaffna Fort, Mirissa Beach",Medium,Adventurous
U0279,30,Historical Exploration,"Damro Labookellie Tea Centre and Tea Garden, Polonnaruwa",Low,Luxury
U0280,28,Hiking ,"Royal Botanical Gardens, Ramboda Waterfall, Community Tsunami Museum",High,Balanced
U0281,33,"Kite Surfing, Rafting, Exploring Exhibits",Dambulla Cave Temple,Medium,Luxury
U0282,27,"Beach Hopping, Agricultural Workshops","Sea Turtle Farm Galle Mahamodara, Kandy Lake",Low,Relaxed
U0283,31,Kite Surfing,"Twin Baths (Kuttam Pokuna), Kalutara Beach, Jaya Sri Maha Bodhi",Low,Balanced
U0284,27,Hiking,,Medium,Luxury
U0285,33,"Meditation, Relaxation","Brief Garden - Bevis Bawa, Koneswaram Temple, Nilaveli Beach",Medium,Luxury
U0286,27,Exploring Exhibits,"St Clair's Falls, Wilpattu National Park",Low,Luxury
U0287,31,Boat Tours,"Community Tsunami Museum, Twin Baths (Kuttam Pokuna), Diyaluma Falls",Medium,Balanced
U0288,34,"Exploring Exhibits, Boat Tours, Agricultural Workshops",Tissa Wewa,Low,Adventurous
U0289,31,Wildlife Spotting,"Jaya Sri Maha Bodhi, Mount Lavinia Beach, Hikkaduwa Beach",Low,Luxury
U0290,28,"Boat Tours, Nature Photography, Surfing",,Medium,Adventurous
U0291,29,"Yoga, Guided Tours","Ruwanwelisaya, Jaffna Fort, Ambewela Farms",Low,Adventurous
U0292,34,Fishing,Ambewela Farms,High,Relaxed
U0293,33,"Cultural Exploration, Fruit Picking","Royal Botanical Gardens, Temple of the Sacred Tooth Relic",High,Relaxed
U0294,31,"Swimming, Agricultural Workshops",Brief Garden - Bevis Bawa,Medium,Relaxed
U0295,31,Boat Tours,"Mount Lavinia Beach, Kumana National Park",High,Backpacker
U0296,28,"Bird Watching, Historical Exploration","National Zoological Gardens of Sri Lanka, Colombo National Museum",Medium,Adventurous
U0297,28,Rafting,"Baker's Falls, Kandy Lake, Lover's Leap Falls",Low,Adventurous
U0298,32,Exploring Exhibits,National Zoological Gardens of Sri Lanka,Medium,Balanced
U0299,34,Trekking,Bluefield Tea Gardens,Medium,Adventurous
U0300,29,"Guided Tours, Cultural Exploration, Boating",Gangaramaya (Vihara) Buddhist Temple,Low,Backpacker
U0301,33,"Trekking, Animal Watching, Guided Tours",Samadhi Statue,High,Balanced
U0302,27,"Wildlife, Sightseeing, Cultural Exploration","New Ranweli Spice Garden, Diyaluma Falls",Low,Luxury
U0303,30,"Tea Plucking, Rafting, Trekking","Colombo National Museum, Koneswaram Temple, Ambewela Farms",Low,Luxury
U0304,30,"Kite Surfing, Cultural Tours, Nature Photography","Gangaramaya (Vihara) Buddhist Temple, Udawalawe National Park, Minneriya Tusker Safaris",High,Adventurous
U0305,32,Snorkeling,"Ambewela Farms, Pedro Tea Factory",Medium,Balanced
U0306,34,"Learning History, Rafting, Guided Tours",Koneswaram Temple,Medium,Adventurous
U0307,35,"Walking Trails, Jeep Safaris","Jethawanaramaya Stupa, Pedro Tea Factory",High,Luxury
U0308,32,Worship,Minneriya National Park,Low,Luxury
U0309,35,"Kite Surfing, Wildlife Spotting",Nilaveli Beach,Medium,Luxury
U0310,35,"Guided Tours, Kayaking",,Medium,Relaxed
U0311,35,Meditation,Ravana Ella Falls,High,Balanced
U0312,29,Kayaking,Udawalawe National Park,Medium,Balanced
U0313,28,Wildlife,"Ariyapala Mask Museum, Pigeon Island National Park, Hakgala Botanic Gardens",High,Adventurous
U0314,35,Animal Watching,,Low,Relaxed
U0315,34,"Historical Exploration, Guided Tours, Boat Tours",Minneriya Tusker Safaris,High,Relaxed
U0316,27,"Fruit Picking, Jeep Safaris, Yoga",,Low,Adventurous
U0317,29,"Tea Plucking, Cultural Exploration",Martin Wickramasinghe Folk Museum Complex,Medium,Adventurous
U0318,26,"Educational Tours, Animal Watching, Beach Hopping","Minneriya National Park, Glenloch Tea Factory",Low,Luxury
U0319,35,Sunbathing,Dambatenne Tea Factory,Medium,Relaxed
U0320,35,"Boating, Worship, Educational Tours",,High,Backpacker
U0321,31,"Trekking, Guided Tours, Relaxation","Koneswaram Temple, Pinnawala Elephant Orphanage",Low,Relaxed
U0322,34,Cultural Exploration,Jaffna Fort,Low,Backpacker
U0323,32,Boating,New Ranweli Spice Garden,Medium,Adventurous
U0324,30,"Cultural Tours, Farm Tours, Learning History",Damro Labookellie Tea Centre and Tea Garden,High,Luxury
U0325,31,"Walking Trails, Jeep Safaris","Hikkaduwa Beach, Sinharaja Forest Reserve",Medium,Relaxed
U0326,34,"Architectural Marvel, Exploring Exhibits",Udawalawe National Park,High,Balanced
U0327,33,"Walking Trails, Swimming","Halpewatte Tea Factory Tour, Marble Beach, Sigiriya The Ancient Rock Fortress",Medium,Balanced
U0328,29,"Farm Tours, Tea Plucking","Ariyapala Mask Museum, Sigiriya Museum, Galle Fort",Medium,Luxury
U0329,27,"Tea Plucking, Kite Surfing",Halpewatte Tea Factory Tour,Low,Luxury
U0330,26,"Wildlife Safaris, Worship, Bird Watching",Pedro Tea Factory,Low,Luxury
U0331,33,"Cultural Exploration, Kayaking, Architectural Marvel","Kandy Lake, New Ranweli Spice Garden",High,Backpacker
U0332,31,Jeep Safaris,Sinharaja Forest Reserve,High,Luxury
U0333,27,Animal Watching,,Low,Luxury
U0334,26,Cultural Tours,"World Buddhist Museum, Kumana National Park",Low,Backpacker
U0335,26,Yoga,,Low,Balanced
U0336,33,Snorkeling,"Sea Turtle Farm Galle Mahamodara, Temple of the Sacred Tooth Relic",Low,Relaxed
U0337,34,"Walking Trails, Kayaking, Kite Surfing",National Zoological Gardens of Sri Lanka,Low,Adventurous
U0338,32,Meditation,"Dambatenne Tea Factory, Twin Baths (Kuttam Pokuna)",Medium,Luxury
U0339,33,"Educational Tours, Wildlife Spotting, Rafting",Ritigala Forest Monastery,Low,Luxury
U0340,31,Boating,Dambulla Cave Temple,Low,Backpacker
U0341,32,"Farm Tours, Historical Exploration, Nature Walks","Wilpattu National Park, Jaffna Fort",Medium,Balanced
U0342,33,"Wildlife Safaris, Boating","Royal Botanical Gardens, Samadhi Statue, Hikkaduwa Beach",Medium,Balanced
U0343,27,"Jet Skiing, Exploring Exhibits",,Medium,Balanced
U0344,26,"Beach Hopping, Cultural Tours","Wilpattu National Park, Jethawanaramaya Stupa, Negombo Beach",Low,Backpacker
U0345,26,"Educational Tours, Architectural Marvel",Jaya Sri Maha Bodhi,High,Adventurous
U0346,32,"Relaxation, Bird Watching, Yoga","Royal Botanical Gardens, Hikkaduwa Beach, Wilpattu National Park",High,Luxury
U0347,33,"Photography, Wildlife, Cultural Tours",Tissa Wewa,Medium,Adventurous
U0348,33,"Nature Walks, Rafting","Ramboda Waterfall, Mihintale, Isurumuniya Temple",Medium,Backpacker
U0349,29,"Meditation, Fishing, Beach Hopping",Pigeon Island National Park,Medium,Backpacker
U0350,33,"Beach Hopping, Historical Exploration","Kandy Lake, St Clair's Falls, Nilaveli Beach",Medium,Adventurous
U0351,26,"Boat Tours, Jeep Safaris, Sunbathing","Minneriya Tusker Safaris, Negombo Beach, Gregory Lake",Medium,Adventurous
U0352,26,Surfing,"Negombo Beach, Pinnawala Elephant Orphanage",Low,Backpacker
U0353,31,"Kite Surfing, Relaxation, Farm Tours",,Medium,Adventurous
U0354,31,Surfing,,High,Balanced
U0355,26,"Guided Tours, Jeep Safaris, Wildlife","Halpewatte Tea Factory Tour, New Ranweli Spice Garden, Jaya Sri Maha Bodhi",Medium,Balanced
U0356,35,"Nature Walks, Guided Tours",Kalametiya Eco Bird Watching,Low,Relaxed
U0357,32,"Bird Watching, Cultural Exploration",Tissa Wewa,High,Luxury
U0358,33,Wildlife,Jaya Sri Maha Bodhi,Low,Luxury
U0359,30,Fruit Picking,,Low,Luxury
U0360,33,"Fruit Picking, Cultural Exploration, Nature Photography",Pigeon Island National Park,Medium,Backpacker
U0361,34,Snorkeling,"Bluefield Tea Gardens, Glenloch Tea Factory",Medium,Balanced
U0362,30,"Jeep Safaris, Cultural Tours",Ruwanwelisaya,Medium,Balanced
U0363,29,Sunbathing,"Marble Beach, Bundala National Park",High,Balanced
U0364,34,"Surfing, Fruit Picking, Educational Tours","Jungle Beach, Ritigala Forest Monastery",High,Luxury
U0365,30,"Trekking, Fishing, Worship","Tissa Wewa, Ambewela Farms, Mihintale",High,Luxury
U0366,32,"Historical Exploration, Sunbathing, Nature Walks","Kumana National Park, Baker's Falls",High,Balanced
U0367,29,"Worship, Wildlife Safaris","Brief Garden - Bevis Bawa, Sigiriya The Ancient Rock Fortress",High,Balanced
U0368,34,"Learning History, Wildlife, Farm Tours",,Medium,Luxury
U0369,32,"Kite Surfing, Tea Plucking","Community Tsunami Museum, Kaudulla National Park",Medium,Backpacker
U0370,32,Cultural Activities,"Colombo National Museum, Minneriya National Park",High,Balanced
U0371,29,"Photography, Swimming","Sigiriya The Ancient Rock Fortress, Galle Fort, Ramboda Waterfall",Low,Balanced
U0372,29,"Bird Watching, Hiking , Exploring Exhibits",,High,Luxury
U0373,34,"Nature Walks, Kite Surfing","Udawattekele Sanctuary, Jaya Sri Maha Bodhi, Diyaluma Falls",Medium,Relaxed
U0374,32,"Exploring Exhibits, Boat Tours, Kit Surfing","Jaffna Fort, Kaudulla National Park, Minneriya National Park",High,Adventurous
U0375,31,Cultural Activities,"Abhayagiri Dagaba, Damro Labookellie Tea Centre and Tea Garden",High,Relaxed
U0376,29,"Cultural Activities, Rafting, Jeep Safaris",,High,Relaxed
U0377,26,"Trekking, Animal Watching, Learning History","Horton Plains National Park, Dambulla Cave Temple",Medium,Balanced
U0378,27,Kayaking,Bentota Beach,Low,Backpacker
U0379,33,"Trekking, Hiking, Sightseeing","New Ranweli Spice Garden, Kalutara Beach",High,Balanced
U0380,35,"Animal Watching, Surfing","Koneswaram Temple, Marble Beach",High,Luxury
U0381,34,Trekking,"Negombo Beach, Tissa Wewa, St Clair's Falls",Low,Relaxed
U0382,35,"Guided Tours, Kit Surfing, Cultural Activities",Kelaniya Raja Maha Vihara,High,Luxury
U0383,26,Exploring Exhibits,Gregory Lake,Low,Backpacker
U0384,27,"Jeep Safaris, Exploring Exhibits, Wildlife",Galle Fort,Low,Relaxed
U0385,27,"Hiking , Cultural Activities",Sigiriya The Ancient Rock Fortress,Medium,Adventurous
U0386,31,"Cultural Activities, Trekking, Worship","Temple of the Sacred Tooth Relic, Ariyapala Mask Museum, Pigeon Island National Park",Medium,Luxury
U0387,30,"Sightseeing, Bird Watching, Kit Surfing",Galle Fort,Low,Relaxed
U0388,30,"Sunbathing, Boating","Twin Baths (Kuttam Pokuna), Nilaveli Beach, Brief Garden - Bevis Bawa",High,Balanced
U0389,26,"Photography, Exploring Exhibits",,High,Balanced
U0390,27,"Farm Tours, Fishing, Snorkeling",,High,Backpacker
U0391,27,Walking Trails,Dambatenne Tea Factory,High,Balanced
U0392,28,"Nature Walks, Trekking","Negombo Beach, Abhayagiri Dagaba",Medium,Relaxed
U0393,32,Sunbathing,Damro Labookellie Tea Centre and Tea Garden,Medium,Adventurous
U0394,28,"Relaxation, Agricultural Workshops",Mount Lavinia Beach,Medium,Backpacker
U0395,34,Architectural Marvel,"Glenloch Tea Factory, Kandy Lake",Medium,Backpacker
U0396,28,"Kayaking, Guided Tours, Sightseeing","Jaya Sri Maha Bodhi, Gregory Lake",Low,Relaxed
U0397,28,Sunbathing,"Royal Botanical Gardens, Passikudah Beach",Low,Backpacker
U0398,34,Jeep Safaris,"Mirissa Beach, Diyaluma Falls",Medium,Backpacker
U0399,35,"Hiking, Exploring Exhibits, Cultural Activities",Pinnawala Elephant Orphanage,Low,Adventurous
U0400,29,"Worship, Fruit Picking, Architectural Marvel",,Low,Backpacker
U0401,28,Historical Exploration,Ruwanwelisaya,Medium,Adventurous
U0402,28,Beach Hopping,Koneswaram Temple,Medium,Balanced
U0403,35,"Farm Tours, Kite Surfing","Hikkaduwa Beach, Ravana Ella Falls",Low,Luxury
U0404,33,"Surfing, Sightseeing, Kayaking","Baker's Falls, Galle Fort",Low,Backpacker
U0405,35,"Photography, Wildlife Safaris",,Medium,Relaxed
U0406,26,Rafting,,High,Balanced
U0407,26,Wildlife,,Medium,Luxury
U0408,35,"Cultural Tours, Farm Tours, Swimming","Jethawanaramaya Stupa, Gangaramaya (Vihara) Buddhist Temple",Medium,Backpacker
U0409,34,Surfing,Hakgala Botanic Gardens,High,Backpacker
U0410,27,Agricultural Workshops,"Tissa Wewa, Twin Baths (Kuttam Pokuna), Bluefield Tea Gardens",Medium,Relaxed
U0411,33,"Jeep Safaris, Wildlife Safaris, Hiking ","Damro Labookellie Tea Centre and Tea Garden, Dambulla Cave Temple",Low,Adventurous
U0412,26,"Wildlife Safaris, Cultural Exploration",Temple of the Sacred Tooth Relic,Low,Luxury
U0413,29,"Jeep Safaris, Wildlife Safaris","Marble Beach, Ravana Ella Falls",Low,Balanced
U0414,28,"Snorkeling, Nature Walks","Martin Wickramasinghe Folk Museum Complex, New Ranweli Spice Garden",High,Backpacker
U0415,30,Rafting,Nilaveli Beach,High,Luxury
U0416,34,"Boating, Photography, Worship",Ritigala Forest Monastery,High,Relaxed
U0417,26,Snorkeling,Samadhi Statue,Medium,Adventurous
U0418,30,"Kite Surfing, Meditation",Tissa Wewa,Medium,Relaxed
U0419,33,"Animal Watching, Bird Watching, Learning History","Gangaramaya (Vihara) Buddhist Temple, Brief Garden - Bevis Bawa",Low,Backpacker
U0420,26,"Exploring Exhibits, Sunbathing, Kite Surfing",,High,Balanced
U0421,30,"Jeep Safaris, Exploring Exhibits","Pinnawala Elephant Orphanage, Kalametiya Eco Bird Watching",High,Luxury
U0422,27,"Wildlife, Bird Watching",,Low,Adventurous
U0423,26,"Trekking, Cultural Exploration, Beach Hopping",Glenloch Tea Factory,Medium,Backpacker
U0424,33,"Boating, Farm Tours",Wilpattu National Park,Low,Luxury
U0425,27,"Tea Plucking, Kayaking",,Medium,Balanced
U0426,30,"Rafting, Historical Exploration, Nature Photography","World Buddhist Museum, Community Tsunami Museum, Ravana Ella Falls",Medium,Luxury
U0427,34,"Hiking , Sunbathing, Architectural Marvel","Diyaluma Falls, Ruwanwelisaya, Kumana National Park",High,Backpacker
U0428,33,"Meditation, Worship, Boating","Royal Botanical Gardens, Minneriya National Park",Low,Adventurous
U0429,33,"Jet Skiing, Fruit Picking","Royal Botanical Gardens, St Clair's Falls",Low,Balanced
U0430,27,"Tea Plucking, Jeep Safaris",Mount Lavinia Beach,Medium,Adventurous
U0431,29,Jet Skiing,,Medium,Relaxed
U0432,33,"Exploring Exhibits, Wildlife","Kaudulla National Park, Gregory Lake, Bundala National Park",Low,Balanced
U0433,31,"Farm Tours, Historical Exploration","Diyaluma Falls, Ariyapala Mask Museum, Brief Garden - Bevis Bawa",Medium,Relaxed
U0434,32,"Historical Exploration, Boating, Nature Walks","Community Tsunami Museum, Bundala National Park, Diyaluma Falls",Low,Adventurous
U0435,27,Farm Tours,"Kumana National Park, Passikudah Beach",Medium,Relaxed
U0436,32,"Bird Watching, Historical Exploration, Surfing",,High,Adventurous
U0437,30,Hiking ,"Victoria Park of Nuwara Eliya, St Clair's Falls, Brief Garden - Bevis Bawa",High,Adventurous
U0438,32,Jeep Safaris,"Mihintale, Ravana Ella Falls",High,Luxury
U0439,34,Fruit Picking,"Diyaluma Falls, Pedro Tea Factory",Medium,Adventurous
U0440,33,"Swimming, Hiking","Bluefield Tea Gardens, Royal Botanical Gardens",Medium,Backpacker
U0441,34,"Kayaking, Bird Watching",Mihintale,High,Backpacker
U0442,33,"Boating, Sightseeing","Nallur Kovil, Polonnaruwa, Arugam Bay",High,Luxury
U0443,29,Historical Exploration,Glenloch Tea Factory,Low,Adventurous
U0444,31,Bird Watching,"World Buddhist Museum, Ariyapala Mask Museum, Negombo Beach",High,Balanced
U0445,34,Nature Walks,,High,Adventurous
U0446,32,"Nature Photography, Swimming, Photography","Minneriya National Park, Bluefield Tea Gardens, Kalutara Beach",Medium,Relaxed
U0447,34,Farm Tours,Dambatenne Tea Factory,Low,Backpacker
U0448,31,"Jet Skiing, Guided Tours, Relaxation","Isurumuniya Temple, World Buddhist Museum",Medium,Luxury
U0449,27,"Sunbathing, Architectural Marvel",Kaudulla National Park,Low,Adventurous
U0450,26,"Beach Hopping, Kayaking",Pigeon Island National Park,Low,Balanced
U0451,39,Yoga,"Handunugoda Tea Estate, Isurumuniya Temple",High,Adventurous
U0452,44,"Snorkeling, Hiking , Tea Plucking","Negombo Beach, Abhayagiri Dagaba, Mount Lavinia Beach",Medium,Backpacker
U0453,36,Cultural Tours,,Low,Relaxed
U0454,45,"Surfing, Snorkeling",Pinnawala Elephant Orphanage,Low,Adventurous
U0455,49,Kit Surfing,"Jaffna Fort, Polonnaruwa, Dagoba of Thuparama",Low,Relaxed
U0456,50,"Jet Skiing, Swimming","Abhayagiri Dagaba, Baker's Falls, Udawattekele Sanctuary",Medium,Relaxed
U0457,43,"Guided Tours, Learning History, Farm Tours","Marble Beach, Gangaramaya (Vihara) Buddhist Temple, Mirissa Beach",Low,Relaxed
U0458,38,Tea Plucking,"Community Tsunami Museum, Sea Turtle Farm Galle Mahamodara",High,Adventurous
U0459,41,"Walking Trails, Sunbathing, Relaxation","Udawalawe National Park, Polonnaruwa, Dambatenne Tea Factory",Medium,Adventurous
U0460,49,"Boat Tours, Beach Hopping","Martin Wickramasinghe Folk Museum Complex, Ambewela Farms, Brief Garden - Bevis Bawa",Medium,Balanced
U0461,47,"Nature Photography, Swimming",,High,Luxury
U0462,39,"Learning History, Beach Hopping, Snorkeling","St Clair's Falls, National Zoological Gardens of Sri Lanka",Low,Relaxed
U0463,49,"Swimming, Cultural Tours, Wildlife Safaris","Kaudulla National Park, Kumana National Park, Ariyapala Mask Museum",Medium,Relaxed
U0464,44,"Agricultural Workshops, Kayaking, Jeep Safaris","Bundala National Park, Ravana Ella Falls",Low,Relaxed
U0465,39,"Educational Tours, Tea Plucking",,High,Relaxed
U0466,45,Wildlife Safaris,Kandy Lake,Low,Adventurous
U0467,40,"Walking Trails, Photography","Kelaniya Raja Maha Vihara, Dambulla Cave Temple",High,Backpacker
U0468,45,"Hiking, Cultural Exploration",Pinnawala Elephant Orphanage,Low,Relaxed
U0469,37,"Historical Exploration, Wildlife Spotting","Abhayagiri Dagaba, Kelaniya Raja Maha Vihara, Mount Lavinia Beach",Low,Balanced
U0470,41,"Jet Skiing, Tea Plucking, Worship","Mount Lavinia Beach, Marble Beach",High,Luxury
U0471,49,Hiking,"Sigiriya Museum, Community Tsunami Museum, New Ranweli Spice Garden",High,Adventurous
U0472,37,"Photography, Meditation, Relaxation","Kumana National Park, Koneswaram Temple",Low,Relaxed
U0473,49,"Snorkeling, Boat Tours",Galle Fort,Low,Balanced
U0474,45,"Walking Trails, Hiking, Cultural Exploration",Royal Botanical Gardens,High,Adventurous
U0475,42,Hiking ,"Minneriya National Park, Ruwanwelisaya, Negombo Beach",Medium,Relaxed
U0476,49,"Animal Watching, Agricultural Workshops, Snorkeling",,Low,Adventurous
U0477,47,Rafting,Ambewela Farms,High,Balanced
U0478,46,"Bird Watching, Snorkeling",,Low,Relaxed
U0479,42,"Architectural Marvel, Learning History","Abhayagiri Dagaba, Negombo Beach, Diyaluma Falls",High,Balanced
U0480,39,Historical Exploration,"Gangaramaya (Vihara) Buddhist Temple, Pedro Tea Factory",High,Backpacker
U0481,38,"Cultural Exploration, Hiking , Wildlife Safaris",,Low,Luxury
U0482,46,"Learning History, Cultural Exploration, Nature Walks","Sigiriya Museum, Community Tsunami Museum, Kaudulla National Park",Medium,Adventurous
U0483,45,"Tea Plucking, Animal Watching, Yoga","Kumana National Park, Ramboda Waterfall",High,Relaxed
U0484,40,"Guided Tours, Cultural Tours, Hiking ","Sigiriya Museum, Nallur Kovil",High,Backpacker
U0485,37,Kit Surfing,"Kaudulla National Park, Pinnawala Elephant Orphanage, Ceylon Tea Museum",Low,Backpacker
U0486,45,"Kite Surfing, Kayaking",,High,Relaxed
U0487,36,"Swimming, Walking Trails, Nature Photography","Sinharaja Forest Reserve, Jungle Beach, Sigiriya The Ancient Rock Fortress",High,Backpacker
U0488,39,"Beach Hopping, Rafting, Guided Tours",Hikkaduwa Beach,High,Backpacker
U0489,50,"Boating, Kit Surfing",Arugam Bay,Medium,Adventurous
U0490,36,Jeep Safaris,"Bluefield Tea Gardens, Handunugoda Tea Estate",Medium,Backpacker
U0491,40,"Wildlife Spotting, Kit Surfing, Yoga",,Medium,Balanced
U0492,49,Kit Surfing,,Medium,Adventurous
U0493,42,Meditation,,Medium,Luxury
U0494,37,Farm Tours,,Low,Backpacker
U0495,43,"Worship, Kayaking",Ruwanwelisaya,Low,Luxury
U0496,42,"Animal Watching, Sunbathing","Samadhi Statue, National Zoological Gardens of Sri Lanka, Ravana Ella Falls",Medium,Relaxed
U0497,47,"Educational Tours, Wildlife Safaris, Wildlife Spotting","Brief Garden - Bevis Bawa, Dambulla Cave Temple, Kandy Lake",High,Backpacker
U0498,42,"Meditation, Animal Watching, Farm Tours","Mihintale, Kandy Lake, Colombo National Museum",High,Luxury
U0499,46,"Kit Surfing, Educational Tours","Ramboda Waterfall, Handunugoda Tea Estate, Minneriya Tusker Safaris",Medium,Relaxed
U0500,43,"Sunbathing, Sightseeing",Baker's Falls,Medium,Balanced
U0501,43,"Relaxation, Wildlife Spotting","Kandy Lake, Polonnaruwa",Medium,Luxury
U0502,36,"Cultural Exploration, Trekking",,Medium,Relaxed
U0503,42,"Boating, Exploring Exhibits","Polonnaruwa, Udawattekele Sanctuary",High,Luxury
U0504,49,"Cultural Tours, Walking Trails","Kalutara Beach, Tissa Wewa",High,Balanced
U0505,37,Cultural Tours,,Low,Balanced
U0506,36,"Historical Exploration, Photography, Fishing","Mount Lavinia Beach, Passikudah Beach, Lover's Leap Falls",Low,Balanced
U0507,44,"Hiking, Agricultural Workshops, Relaxation",,Low,Adventurous
U0508,39,"Historical Exploration, Yoga",Hikkaduwa Beach,Medium,Balanced
U0509,42,"Yoga, Wildlife",Lover's Leap Falls,Medium,Backpacker
U0510,49,"Kayaking, Bird Watching","Passikudah Beach, Hikkaduwa Beach",Medium,Luxury
U0511,40,"Exploring Exhibits, Hiking , Wildlife Spotting","Sigiriya The Ancient Rock Fortress, Royal Botanical Gardens, Hikkaduwa Beach",Low,Relaxed
U0512,43,"Agricultural Workshops, Fruit Picking",Ramboda Waterfall,Medium,Adventurous
U0513,44,Hiking,Hakgala Botanic Gardens,Medium,Relaxed
U0514,43,"Boating, Hiking, Trekking",Horton Plains National Park,Low,Luxury
U0515,42,Swimming,"Gangaramaya (Vihara) Buddhist Temple, Dambatenne Tea Factory, Jaya Sri Maha Bodhi",Low,Luxury
U0516,40,"Snorkeling, Wildlife Safaris, Cultural Activities","Wilpattu National Park, Baker's Falls, Isurumuniya Temple",Low,Luxury
U0517,36,"Fruit Picking, Jeep Safaris, Boat Tours","Bluefield Tea Gardens, Sinharaja Forest Reserve, Jungle Beach",Medium,Luxury
U0518,47,"Nature Photography, Farm Tours, Cultural Exploration","Marble Beach, Kalametiya Eco Bird Watching",Medium,Balanced
U0519,41,"Boat Tours, Wildlife Safaris, Kit Surfing",,Low,Adventurous
U0520,40,"Bird Watching, Trekking","Jaya Sri Maha Bodhi, Isurumuniya Temple, Sigiriya Museum",High,Backpacker
U0521,36,Wildlife Safaris,"Kaudulla National Park, Jethawanaramaya Stupa",Medium,Relaxed
U0522,40,Nature Walks,"Wilpattu National Park, Sinharaja Forest Reserve, Diyaluma Falls",Low,Balanced
U0523,41,"Kite Surfing, Jeep Safaris","Gangaramaya (Vihara) Buddhist Temple, St Clair's Falls",Low,Relaxed
U0524,37,Tea Plucking,"Sinharaja Forest Reserve, Sigiriya Museum, Marble Beach",High,Luxury
U0525,44,"Beach Hopping, Photography",Pedro Tea Factory,High,Balanced
U0526,41,Animal Watching,"Baker's Falls, Kandy Lake, Mount Lavinia Beach",Medium,Adventurous
U0527,49,Photography,Martin Wickramasinghe Folk Museum Complex,High,Backpacker
U0528,41,"Yoga, Cultural Activities, Wildlife Spotting",National Zoological Gardens of Sri Lanka,Low,Adventurous
U0529,45,"Agricultural Workshops, Relaxation, Trekking",,Low,Relaxed
U0530,39,"Animal Watching, Guided Tours",Ambewela Farms,Medium,Luxury
U0531,50,"Yoga, Worship",Koneswaram Temple,Medium,Adventurous
U0532,44,"Farm Tours, Cultural Activities, Walking Trails","Mount Lavinia Beach, Nallur Kovil",High,Relaxed
U0533,45,"Fruit Picking, Fishing","Kalutara Beach, Kandy Lake, Dambulla Cave Temple",Low,Adventurous
U0534,47,"Rafting, Learning History","Arugam Bay, Tissa Wewa, Sigiriya The Ancient Rock Fortress",Low,Adventurous
U0535,44,"Bird Watching, Boating, Beach Hopping","New Ranweli Spice Garden, Baker's Falls, Marble Beach",Medium,Backpacker
U0536,46,Kayaking,"Tissa Wewa, Samadhi Statue",Low,Backpacker
U0537,47,"Rafting, Nature Photography",Twin Baths (Kuttam Pokuna),Medium,Adventurous
U0538,42,"Boat Tours, Snorkeling, Worship","Hikkaduwa Beach, New Ranweli Spice Garden",Medium,Balanced
U0539,40,"Architectural Marvel, Worship","Ritigala Forest Monastery, Glenloch Tea Factory",High,Relaxed
U0540,47,"Sunbathing, Cultural Tours","Hakgala Botanic Gardens, St Clair's Falls, Sigiriya Museum",High,Backpacker
U0541,50,Guided Tours,Dagoba of Thuparama,Medium,Balanced
U0542,48,"Animal Watching, Beach Hopping, Fishing","Kaudulla National Park, Mirissa Beach, Dagoba of Thuparama",High,Backpacker
U0543,39,"Boat Tours, Farm Tours, Guided Tours","Gangaramaya (Vihara) Buddhist Temple, Dagoba of Thuparama",Low,Balanced
U0544,50,"Exploring Exhibits, Snorkeling, Jet Skiing",,Low,Adventurous
U0545,46,"Boat Tours, Wildlife, Wildlife Safaris","Galle Fort, Community Tsunami Museum",Low,Luxury
U0546,45,Jeep Safaris,,Medium,Relaxed
U0547,45,Yoga,"Pinnawala Elephant Orphanage, Sigiriya Museum, Negombo Beach",Medium,Adventurous
U0548,47,"Tea Plucking, Photography",Jaya Sri Maha Bodhi,Low,Balanced
U0549,46,"Kite Surfing, Hiking","Ariyapala Mask Museum, Udawattekele Sanctuary",High,Relaxed
U0550,49,"Cultural Exploration, Learning History","Martin Wickramasinghe Folk Museum Complex, Lover's Leap Falls",Medium,Adventurous
U0551,42,Wildlife Spotting,"Negombo Beach, Victoria Park of Nuwara Eliya, St Clair's Falls",Medium,Adventurous
U0552,42,"Tea Plucking, Learning History, Trekking",,High,Relaxed
U0553,39,"Worship, Fishing","Damro Labookellie Tea Centre and Tea Garden, Kumana National Park, Marble Beach",High,Relaxed
U0554,44,"Wildlife Safaris, Farm Tours, Trekking",,Low,Adventurous
U0555,39,"Fruit Picking, Wildlife","Dambulla Cave Temple, Tissa Wewa",High,Relaxed
U0556,39,Architectural Marvel,Halpewatte Tea Factory Tour,Medium,Luxury
U0557,42,Farm Tours,,High,Luxury
U0558,44,"Animal Watching, Jet Skiing, Nature Photography","Kalutara Beach, Temple of the Sacred Tooth Relic",Low,Balanced
U0559,44,"Photography, Boat Tours",,Low,Adventurous
U0560,38,"Wildlife Spotting, Exploring Exhibits",Horton Plains National Park,Medium,Luxury
U0561,40,"Agricultural Workshops, Beach Hopping, Trekking","Arugam Bay, Ambewela Farms, Minneriya Tusker Safaris",High,Adventurous
U0562,36,"Nature Photography, Swimming",New Ranweli Spice Garden,Medium,Balanced
